,lon,lat,angle,norm,pid_sub,pid_over,length,total_vel,vel,trench_vel,slab_vel_abs,slab_flux,slab_age,slab_thickness,vratio,slab_dip,segment_ID,curvature,density,relative_density,spreading_rate
0,171.78332063595295,-33.515769752713524,0.0,187.99980939397005,801.0,8680.0,35543.59352362134,0.0,0.0,-0.0420363999747695,-0.0420363999747695,0.0,35.492897033691406,61369.895935058594,1.0,,1,8.67796881143279e-05,3287.7893894377016,-12.21061056229837,0.030634133145213124
1,172.1631799658596,-33.559675874965805,0.0,187.7899419262513,801.0,8680.0,35543.59352374814,0.0,0.0,-0.041722762660109,-0.041722762660109,0.0,31.16405868530273,57506.91890716553,1.0,,1,8.777388506233427e-05,3282.6127909654324,-17.387209034567604,0.017591139301657677
2,172.6313995627487,-33.6593085212341,0.0,198.5598988696447,801.0,8680.0,54360.41978309604,0.0,0.0,-0.0406962355704213,-0.0406962355704213,0.0,31.16405868530273,57506.91890716553,1.0,,1,8.956206186409193e-05,3282.6127909654324,-17.387209034567604,0.017591139301657677
3,173.18920103061353,-33.81366314352551,0.0,198.2501084074273,801.0,8680.0,54360.41978309604,0.0,0.0,-0.0402116101930792,-0.0402116101930792,0.0,31.16405868530273,57506.91890716553,1.0,,1,9.178762575206776e-05,3282.6127909654324,-17.387209034567604,0.017591139301657677
4,173.6677255355738,-33.95913133136758,0.0,202.70510298259532,801.0,8680.0,39797.76805038751,0.0,0.0,-0.0390583196744692,-0.0390583196744692,0.0,31.06720884904752,57417.39273071289,1.0,,1,9.399176911743958e-05,3282.4828817735033,-17.517118226496677,0.020136051020849553
5,174.06644064990212,-34.09663765023162,0.0,202.48198269676607,801.0,8680.0,39797.76805061397,0.0,0.0,-0.0386998530794431,-0.0386998530794431,0.0,30.922218322753903,57283.40148925781,1.0,,1,9.570250448814404e-05,3282.2875491872887,-17.712450812711268,0.023945949971675873
6,174.44691826936022,-34.24429657136012,0.0,207.93619531967047,801.0,8680.0,37623.19542144356,0.0,0.0,-0.0371243557459366,-0.0371243557459366,0.0,30.324121475219723,56726.694107055664,1.0,,1,9.655474028520632e-05,3281.4642502858674,-18.535749714132635,0.03282199427485466
7,174.80921159086856,-34.40227838161052,0.0,207.73191130979893,801.0,8680.0,37623.19542144356,0.0,0.0,-0.0367827536618683,-0.0367827536618683,0.0,29.727884292602536,56166.29123687744,1.0,,1,9.635506720159968e-05,3280.6159628351334,-19.38403716486664,0.0327620804309845
8,175.13544996183563,-34.60844747522893,0.0,226.9306053443565,801.0,8680.0,38812.329741750335,0.0,0.0,-0.0296286964861195,-0.0296286964861195,0.0,28.167607225317724,54672.4796295166,1.0,,1,9.51536771776474e-05,3278.2544976086506,-21.74550239134942,0.03302748650367352
9,175.4259463283561,-34.86309198123181,0.0,226.7650819939872,801.0,8680.0,38812.32974186645,0.0,0.0,-0.0292738747387124,-0.0292738747387124,0.0,27.00670051574707,53534.03091430664,1.0,,1,9.324444123847324e-05,3276.3510440797904,-23.648955920209573,0.03905503451824188
10,175.640509963941,-35.10436008201851,0.0,243.7807595529986,801.0,8680.0,28306.391708818403,0.0,0.0,-0.0201312741691828,-0.0201312741691828,0.0,27.00670051574708,53534.03091430664,1.0,,1,9.109887690005878e-05,3276.3510440797904,-23.648955920209573,0.03905503451824189
11,175.77837134389233,-35.33265506859989,0.0,243.70125523033903,801.0,8680.0,28306.391708500003,0.0,0.0,-0.0198713076198723,-0.0198713076198723,0.0,31.581888736607688,57891.130447387695,1.0,,1,8.926704097552722e-05,3283.164890900251,-16.835109099748934,0.039621359143559874
12,175.98407170029745,-35.61557180620204,0.0,236.6209795007008,801.0,8680.0,44941.761543828514,0.0,0.0,-0.0233922903501649,-0.0233922903501649,0.0,36.22249603271485,61997.175216674805,1.0,,1,8.821366504332124e-05,3288.5567060529456,-11.443293947054372,0.025224929675459862
13,7.533193817405321,45.1071789689157,157.22284701195665,179.77255917564375,701.0,307.0,3048.5995815251654,-0.002940048423955,0.0,-0.0159215304140667,-0.0184171267313177,0.0,130.8468780517578,100931.76364898682,1.0,,2,0.0007942945665214,3313.353148112669,13.353148112668805,0.008560308255255222
14,7.562592304685836,45.1041685376037,133.43216506378045,203.515419817665,701.0,307.0,1707.5928784623995,-0.0029342568367347,0.0,-0.0213348205729688,-0.0232788476417786,0.0,130.84687805175778,100931.76364898682,1.0,,2,0.0007416502604941,3313.353148112669,13.353148112668805,0.008560308255255222
15,7.577182732714097,45.09968616905446,133.38064122660634,203.5257551485892,701.0,307.0,790.2478575374761,-0.0029317620808512,0.0,-0.0213421130314516,-0.0232825002529147,0.0,130.8468780517578,100931.76364898682,1.0,,2,0.0006448701846332,3313.353148112669,13.353148112668805,0.008560308255255222
16,7.596385676267509,45.09378287108726,-122.68615427340475,203.53935658398143,701.0,307036.0,2497.8407335977145,-0.0027392753391774,0.0,-0.0217792041687959,-0.0232873070845176,0.0,130.8468780517578,100931.76364898682,1.0,,2,0.0005190025555504,3313.353148112669,13.353148112668805,0.008560308255255222
17,7.7062922540541985,45.13654996854324,-64.34680474744295,144.94746663480151,701.0,307036.0,18282.17529815004,0.002733656177099,0.0011834622310526,-0.0070229041735812,-0.006005149936883,119.44893019210652,130.8468780517578,100931.76364898682,1.0,,2,0.0003823836376511,3313.353148112669,13.353148112668805,0.008560308255255222
